Attorney General	1e06ea#0001::utah.gov::STATE.person
AG	1e06ea#0002::utah.gov::STATE.person
Child and Family Services	1e06ea#0003::utah.gov::STATE.department
DCFS	1e06ea#0004::utah.gov::STATE.division
Workforce Services	1e06ea#0005::utah.gov::STATE.department
DWS	1e06ea#0006::utah.gov::STATE.department
Office of Recovery Services	1e06ea#0007::utah.gov::STATE.department
ORS	1e06ea#0008::utah.gov::STATE.department
Office of Management and Budget	1e06ea#0009::utah.gov::STATE.office
GOPB	1e06ea#0010::kshs.org::STATE.office
Constitution Hall	1e06ea#0011::kshs.org::STATE.historic_site
Fort Hays	1e06ea#0012::kshs.org::STATE.historic_site
Grinter Place	1e06ea#0013::kshs.org::STATE.historic_site
Hollenberg Pony Express Station	1e06ea#0014::kshs.org::STATE.historic_site
Kaw Mission	1e06ea#0015::kshs.org::STATE.historic_site
Mine Creek Civil War Battlefront	1e06ea#0016::kshs.org::STATE.historic_site
Pawnee Indian Museum	1e06ea#0017::kshs.org::STATE.historic_site
Red Rocks	1e06ea#0018::kshs.org::STATE.historic_site
Kansas State Capitol	1e06ea#0019::kshs.org::STATE.building
Kansas Museum of History	1e06ea#0020::kshs.org::STATE.building
Governor Sam Brownback	1e06ea#0021::kshs.org::STATE.official
Lieutenant Governor Jeff Colyer	1e06ea#0022::kshs.org::STATE.official
Capitol Preservation Committee	1e06ea#0023::kshs.org::STATE.legislative_committee
Joint Committee on State Building Construction	1e06ea#0024::kshs.org::STATE.legislative_committee
Legislative Coordinating Council	1e06ea#0025::kshs.org::STATE.legislative_committee
House Appropriations Committee	1e06ea#0026::kshs.org::STATE.legislative_committee
Senate Ways and Means	1e06ea#0027::kshs.org::STATE.legislative_committee
House Education Committee	1e06ea#0028::kshs.org::STATE.legislative_committee
Senate Education Committee	1e06ea#0029::kshs.org::STATE.legislative_committee
State Historic Preservation Officer	1e06ea#0030::kshs.org::STATE.official
Secretary of Administration	1e06ea#0031::kshs.org::STATE.official
Division of the Budget	1e06ea#0032::kshs.org::STATE.official
Commissioner of Education	1e06ea#0033::kshs.org::STATE.official
Legislative Administrative Services	1e06ea#0034::kshs.org::STATE.agency
Legislative Division of Post-Audit	1e06ea#0035::kshs.org::STATE.agency
Revisor of Statutes	1e06ea#0036::nc.gov::STATE.agency
EDPNC	1e06ea#0037::nc.gov::STATE.organization
CMS	1e06ea#0038::nc.gov::FEDERAL.organization
FHWA	1e06ea#0039::nc.gov::FEDERAL.organization
DOJ	1e06ea#0040::nc.gov::STATE.organization
DHHS	1e06ea#0041::nc.gov::STATE.organization
DOT	1e06ea#0042::nc.gov::STATE.organization
SBI	1e06ea#0043::nc.gov::STATE.organization
SAC	1e06ea#0044::nc.gov::STATE.person
NEPA	1e06ea#0045::nc.gov::FEDERAL.governance
SEPA	1e06ea#0046::nc.gov::STATE.governance
UBO	1e06ea#0047::nc.gov::STATE.governance
CFR	1e06ea#0048::nc.gov::FEDERAL.governance
C.F.R.	1e06ea#0049::nc.gov::FEDERAL.governance
USC	1e06ea#0050::nc.gov::FEDERAL.governance
